source,target,paper_title
Dongxiao Yang,Didong Li,2D Dubins path in environments with obstacle
Dongxiao Yang,Huafei Sun,2D Dubins path in environments with obstacle
Didong Li,Huafei Sun,2D Dubins path in environments with obstacle
Mingming Li,Huafei Sun,A Geometric Approach to Average Problems on Multinomial and Negative Multinomial Models
Mingming Li,Didong Li,A Geometric Approach to Average Problems on Multinomial and Negative Multinomial Models
Huafei Sun,Didong Li,A Geometric Approach to Average Problems on Multinomial and Negative Multinomial Models
Yixiang Qu,Yifan Dai,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Shilin Yu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Pradham Tanikella,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Travis Schrank,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Trevor Hackman,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yixiang Qu,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Shilin Yu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Pradham Tanikella,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Travis Schrank,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Trevor Hackman,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Yifan Dai,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Shilin Yu,Pradham Tanikella,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Shilin Yu,Travis Schrank,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Shilin Yu,Trevor Hackman,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Shilin Yu,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Shilin Yu,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Pradham Tanikella,Travis Schrank,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Pradham Tanikella,Trevor Hackman,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Pradham Tanikella,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Pradham Tanikella,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Travis Schrank,Trevor Hackman,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Travis Schrank,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Travis Schrank,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Trevor Hackman,Didong Li,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Trevor Hackman,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Didong Li,Di Wu,"A Novel Compact LLM Framework for Local, High-Privacy EHR Data Applications"
Mingming Li,Huafei Sun,A Riemannian submersion‐based approach to the Wasserstein barycenter of positive definite matrices
Mingming Li,Didong Li,A Riemannian submersion‐based approach to the Wasserstein barycenter of positive definite matrices
Huafei Sun,Didong Li,A Riemannian submersion‐based approach to the Wasserstein barycenter of positive definite matrices
Jordan Bryan,Haibo Zhou,A compromise criterion for weighted least squares estimates
Jordan Bryan,Didong Li,A compromise criterion for weighted least squares estimates
Haibo Zhou,Didong Li,A compromise criterion for weighted least squares estimates
Jing Wang,Huafei Sun,A geodesic-based Riemannian gradient approach to averaging on the Lorentz group
Jing Wang,Didong Li,A geodesic-based Riemannian gradient approach to averaging on the Lorentz group
Huafei Sun,Didong Li,A geodesic-based Riemannian gradient approach to averaging on the Lorentz group
Matthew R Dunn,Didong Li,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Marc A Emerson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Caroline A Thompson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Hazel B Nichols,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Sarah C Van Alsten,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Matthew R Dunn,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Marc A Emerson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Caroline A Thompson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Hazel B Nichols,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Sarah C Van Alsten,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Lisa A Carey,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Terry Hyslop,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Jennifer Elston Lafata,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Didong Li,Melissa A Troester,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Caroline A Thompson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Hazel B Nichols,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Sarah C Van Alsten,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Mya L Roberson,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
Marc A Emerson,Stephanie B Wheeler,A latent class assessment of healthcare access factors and disparities in breast cancer care timeliness
